training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,training/rep/critic_loss,training/rep/q_max,training/rep/q_mean,training/rep/q_min,training/rep/v_max,training/rep/v_mean,training/rep/v_min,training/rep/value_loss,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,validation/rep/critic_loss,validation/rep/q_max,validation/rep/q_mean,validation/rep/q_min,validation/rep/v_max,validation/rep/v_mean,validation/rep/v_min,validation/rep/value_loss,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,step
182.34077,6.710619,-7.647624,0.07402906,1.0,4.6103897,-3.7596927,115.53385,1.3554815,0.0,-18.998806,-49.068348,1.5388238,-18.42585,-48.897263,0.18447381,0.5085696,-29.05085,-81.3374,0.2605205,203.65543,6.881802,-7.72406,0.09313795,1.0,1.3765987,0.2822796,-18.280132,-49.496517,1.7567799,-17.749704,-48.596146,0.18945567,0.49400187,-27.959541,-81.54314,0.28898016,30000
202.90483,7.153473,-7.6042624,0.06318855,1.0,1.4695383,-2.567368,81.76734,1.1992795,0.12159598,-20.341286,-58.90751,1.697246,-19.824478,-58.590755,0.14201769,0.36719018,-27.629211,-87.66864,0.24370384,214.06268,7.770277,-7.6863327,0.08370613,1.0,1.4425097,0.79681456,-21.788757,-59.827023,2.0649338,-21.292301,-59.851456,0.19111338,0.49100044,-30.058323,-95.40643,0.28533152,60000
193.51108,6.453478,-7.6029034,0.062848724,1.0,3.6945338,-2.899632,88.189545,1.0094148,0.22297299,-23.7779,-62.88219,1.489502,-23.316044,-62.51001,0.12534975,0.45964786,-30.231892,-91.51581,0.23282483,200.97491,7.8401957,-7.67883,0.081830524,1.0,1.327304,0.8599782,-23.38245,-63.424908,1.9228177,-22.904505,-63.030678,0.19020224,0.34811515,-29.96099,-92.26846,0.260432,90000
187.08002,5.314563,-7.5879755,0.059116907,1.0,7.5358896,-4.024839,116.5068,1.3034738,0.0,-24.404968,-65.58031,2.071716,-23.906322,-65.23482,0.14746259,1.0317991,-27.296196,-93.18604,0.7736683,221.89714,5.8665557,-7.6747317,0.08080588,1.0,1.5215652,0.24281597,-23.76328,-65.09157,1.302638,-23.321556,-65.2513,0.20714614,0.3967778,-26.253721,-91.186714,0.632601,120000
198.91391,4.980877,-7.590718,0.059802447,1.0,3.6619036,-4.1924934,100.23917,1.2264993,0.15508175,-24.902378,-67.82725,1.4931734,-24.433523,-67.506874,0.14221972,0.527054,-20.36594,-99.56061,0.53250825,181.29762,3.7918055,-7.646708,0.0738,1.0,1.5695482,0.07466364,-25.212196,-67.483475,2.064774,-24.735909,-67.0018,0.22614086,0.46487504,-20.928324,-77.36701,0.67770827,150000
219.84991,6.060832,-7.586255,0.058686607,1.0,2.2625952,-2.471463,107.05994,1.1414502,0.0,-22.978432,-67.55229,1.3017988,-22.523827,-67.22392,0.1995735,0.4576915,-21.929447,-116.508896,0.4384467,204.61836,5.156275,-7.6416273,0.072529815,1.0,1.5326153,0.802714,-25.216515,-70.18572,1.8759351,-24.770348,-69.884384,0.21445534,0.4124527,-23.506912,-81.142075,0.6275697,180000
211.5365,5.65366,-7.56821,0.054175455,1.0,5.545311,-4.2090507,106.84292,1.1832244,0.41204393,-24.648296,-69.11258,1.5094658,-24.188057,-68.80214,0.12225327,0.74479663,-24.553421,-146.08948,0.3068112,201.73134,6.587522,-7.664687,0.07829471,1.0,1.2283183,0.15380883,-24.76111,-67.1454,1.7184259,-24.274223,-66.87172,0.17512564,0.48610172,-23.991173,-120.309845,0.32938203,210000
200.12038,5.9619703,-7.5815563,0.057512,1.0,6.4469304,-4.6792073,123.378845,1.163688,0.60371304,-27.293217,-70.67705,1.3196828,-26.874195,-70.61568,0.12263842,0.48218596,-27.871902,-144.83249,0.56534386,211.83061,5.672353,-7.6943173,0.08570227,1.0,1.5341036,0.66014206,-25.885685,-69.92179,1.6989164,-25.45465,-69.94841,0.20332262,0.34669217,-25.669132,-102.74772,0.34574988,240000
190.95622,5.7248087,-7.5718,0.05507292,1.0,2.2493181,-2.0352688,89.64393,1.1325676,0.02722025,-26.308498,-70.13635,1.6334562,-25.872154,-69.96887,0.124054044,0.28765538,-26.417397,-118.751816,0.35257953,217.97289,6.561978,-7.6462374,0.07368231,1.0,1.4692159,0.75667036,-26.04084,-73.05353,1.8556433,-25.623596,-72.800705,0.2053978,0.57994187,-25.656696,-91.197586,0.38321203,270000
200.81342,6.18937,-7.576873,0.05634116,1.0,3.9224234,-4.198116,114.187355,1.4129548,0.90259826,-26.318184,-70.58388,2.2720017,-25.884338,-70.17743,0.1364381,0.3908592,-26.794727,-132.18103,0.4612355,195.12088,5.6847267,-7.686334,0.08370652,1.0,1.5089631,1.1758282,-27.20913,-71.53891,2.5913372,-26.70768,-71.32088,0.21627653,0.6898986,-26.913635,-116.19609,0.52873784,300000
196.1141,6.259656,-7.5693817,0.05446841,1.0,4.8364854,-2.5668926,109.79289,1.1476922,0.2572211,-25.55114,-71.79807,1.8235959,-25.076721,-71.51297,0.13909104,0.37882495,-25.506294,-123.42942,0.39532447,226.20895,7.0692253,-7.6754084,0.08097503,1.0,1.3995037,0.39838743,-25.222157,-72.11379,2.4489095,-24.784485,-71.74231,0.19297117,1.1344641,-24.811796,-95.48723,0.7042265,330000
201.39131,6.2170515,-7.5705714,0.0547658,1.0,2.6647253,-2.7458303,109.19189,1.3863262,0.273129,-27.322922,-72.436165,1.7436721,-26.895527,-72.15115,0.12822244,0.95481396,-27.153347,-123.16585,0.38782462,200.20761,5.73983,-7.6927743,0.0853166,1.0,1.4648509,0.8197756,-26.876036,-73.960976,2.3143444,-26.409748,-73.69255,0.19321015,0.45744097,-26.080685,-109.64914,1.0479844,360000
194.22302,6.6342225,-7.5607967,0.052322134,1.0,3.1078422,-5.236151,101.11655,1.1303155,1.6849885,-26.807543,-71.67622,2.7237089,-26.388897,-71.16093,0.12825887,0.47631404,-26.594696,-120.327705,0.33269617,196.31113,6.332566,-7.681369,0.08246511,1.0,1.2379,1.1684306,-27.589016,-72.807205,2.1909387,-27.138195,-72.458565,0.18824133,0.6070477,-27.164865,-102.78202,0.50444883,390000
190.31699,5.95562,-7.558509,0.05175025,1.0,3.7687435,-2.7633684,106.69153,1.1242299,0.07060599,-27.144926,-72.264786,1.3583841,-26.676546,-71.91181,0.14096645,0.63843024,-27.477846,-121.65115,0.3781029,193.48373,6.046974,-7.6921883,0.08517005,1.0,1.5138817,0.51208067,-28.402182,-73.60487,1.7865152,-27.958145,-73.3452,0.23767136,0.5283338,-27.834438,-105.45027,0.5700969,420000
189.86816,6.5769634,-7.565466,0.05348938,1.0,2.169105,-2.5540662,83.795296,0.98639524,1.5586913,-27.315498,-72.055115,1.4216509,-26.870777,-71.904236,0.123668894,0.4496051,-27.28681,-111.70856,0.33787426,204.81854,6.2361426,-7.6708784,0.07984258,1.0,1.3602867,1.0181301,-27.913754,-73.83925,2.2132258,-27.456028,-72.930046,0.19129716,0.5167598,-27.655281,-113.34358,0.50479597,450000
207.18472,6.7286844,-7.5637636,0.053063914,1.0,3.1634433,-4.260487,99.37569,1.1813157,0.89848506,-26.371437,-74.670425,1.4991026,-25.915733,-74.42534,0.12464119,0.55872804,-26.670406,-110.26778,0.34708908,219.43205,6.812562,-7.6838837,0.08309388,1.0,1.2444084,0.76327205,-27.698765,-71.91758,2.149904,-27.295364,-71.62494,0.18358114,0.71084493,-27.566902,-113.49065,0.3871541,480000
