training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,training/rep/critic_loss,training/rep/q_max,training/rep/q_mean,training/rep/q_min,training/rep/v_max,training/rep/v_mean,training/rep/v_min,training/rep/value_loss,training/value/eikonal_loss,training/value/td_value_loss,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,validation/rep/critic_loss,validation/rep/q_max,validation/rep/q_mean,validation/rep/q_min,validation/rep/v_max,validation/rep/v_mean,validation/rep/v_min,validation/rep/value_loss,validation/value/eikonal_loss,validation/value/td_value_loss,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,step
266.64252,0.17134012,-7.6010756,0.062391877,1.0,6.4063153,-4.904341,119.941895,1.3888233,0.47323847,-28.137215,-72.12831,1.9289837,-27.71177,-71.84316,0.158633,0.19900091,0.22040081,0.5916145,-35.953236,-95.67552,0.4194017,276.43042,0.18235599,-7.661558,0.077512555,1.0,1.5773314,0.50236225,-27.382954,-70.9689,1.5609801,-26.967209,-70.87304,0.20188394,0.26114833,0.24801208,0.42833596,-35.531048,-94.92758,0.5091604,360000
271.8992,0.17518562,-7.607298,0.06394747,1.0,4.133856,-2.5941665,94.93432,1.3036267,1.0495703,-27.049786,-73.95867,2.0369787,-26.582928,-73.69704,0.12138192,0.22905423,0.21113542,0.5220098,-34.971413,-96.05675,0.44018966,257.52185,0.13655731,-7.710947,0.089859635,1.0,1.2894323,0.69727707,-26.395454,-69.72356,2.0234017,-25.967503,-69.31862,0.18695176,0.3206472,0.24879625,0.3155608,-34.247463,-95.40321,0.56944346,390000
270.26624,0.2070709,-7.6240926,0.06814612,1.0,2.318558,-5.035552,95.526276,1.1232758,0.10472405,-26.166927,-72.7747,3.4675217,-25.769197,-72.4706,0.1329212,0.21100225,0.15528667,0.38628387,-33.45885,-94.197845,0.3662889,269.83713,0.19375515,-7.7031517,0.08791079,1.0,1.4200296,0.6414913,-27.898758,-73.29358,2.2055593,-27.469116,-73.03465,0.19776905,0.31430677,0.21756107,0.3843832,-35.518562,-95.89969,0.53186786,420000
263.57446,0.17086858,-7.587576,0.059016794,1.0,14.627493,-3.9409494,130.37613,1.1326535,0.24125767,-27.1081,-72.95147,1.730268,-26.678638,-72.73344,0.14312404,0.26301968,0.20414567,0.31408536,-34.74166,-94.51723,0.46716535,289.66385,0.20248678,-7.6805296,0.08225541,1.0,1.5622184,1.2267785,-27.882912,-72.56114,2.2135656,-27.413906,-72.602516,0.18377192,0.28441796,0.24971206,0.4781633,-36.1994,-96.00908,0.53413004,450000
282.04367,0.18842903,-7.598336,0.06170709,1.0,2.6166048,-3.3138914,92.258545,1.2017365,0.033000946,-27.085224,-73.93361,1.731458,-26.669065,-73.66633,0.12890399,0.18929608,0.1648862,0.32944202,-34.388275,-94.36036,0.3541823,273.3067,0.13418628,-7.6779494,0.08161031,1.0,1.5344753,1.6506228,-28.427315,-73.68948,2.7432704,-27.975239,-73.42296,0.23802246,0.3235497,0.31833717,0.3101782,-36.610146,-96.90822,0.64188683,480000
272.8893,0.21521875,-7.59335,0.06046043,1.0,6.1717496,-7.376757,125.73859,1.5544013,0.0,-26.452087,-71.72156,1.4522533,-26.064037,-71.5107,0.13669783,0.3080173,0.2579186,0.33469415,-33.44981,-95.298706,0.5659359,279.7362,0.21006373,-7.6655245,0.07850408,1.0,1.1471016,0.6822587,-27.416037,-72.50268,2.5583344,-27.005175,-72.219734,0.24426013,0.2115952,0.17652464,0.3807568,-35.197258,-96.1873,0.38811982,510000
263.96396,0.15447223,-7.585624,0.058528952,1.0,3.36611,-3.3896315,90.683304,1.0897973,1.3282707,-28.026451,-72.85654,2.1391816,-27.612392,-72.51392,0.13520744,0.21442911,0.16725859,0.2576903,-34.948723,-96.32598,0.3816877,267.18808,0.18515453,-7.685384,0.083468884,1.0,1.5948939,1.2698529,-28.568098,-72.32092,3.0450249,-28.165487,-72.10336,0.29617798,0.22712499,0.28225353,0.37348032,-36.12233,-96.84126,0.50937855,540000
262.28064,0.16217001,-7.6007137,0.06230141,1.0,3.519023,-2.509468,112.91258,1.0514247,0.10197425,-26.58518,-74.65033,2.0060687,-26.16763,-74.42079,0.12695865,0.2118478,0.17358676,0.45184925,-33.75707,-93.86757,0.38543457,279.54718,0.16078854,-7.7199335,0.09210626,1.0,1.5781066,0.63129604,-28.447426,-72.925125,2.4196072,-28.05465,-72.62668,0.24463665,0.32802147,0.3017881,0.4581399,-36.10813,-96.06456,0.62980956,570000
283.373,0.2006202,-7.584318,0.058202535,1.0,2.6339614,-4.008512,100.842804,1.0982978,0.335595,-26.767294,-74.25003,1.5999832,-26.347528,-73.936646,0.16583377,0.20875554,0.16136833,0.29205889,-33.84498,-96.590805,0.37012386,244.98582,0.13526961,-7.699562,0.087013416,1.0,1.488607,2.1867783,-28.510153,-73.91697,3.1962552,-28.102497,-73.71059,0.20334211,0.20728697,0.19413254,0.35479033,-36.017143,-95.66455,0.40141952,600000
278.64893,0.18960303,-7.5957146,0.06105165,1.0,19.81358,-3.4942293,125.13981,1.0888016,0.9684789,-28.824537,-73.014145,2.1552634,-28.374483,-72.74121,0.16791874,0.22241572,0.15078829,0.3707195,-36.64828,-95.60475,0.373204,271.4749,0.19414562,-7.7089148,0.08935167,1.0,1.4775467,1.4736655,-27.037884,-71.67629,2.3365207,-26.599564,-71.446686,0.201623,0.3379933,0.54128575,0.51635844,-34.391,-97.117256,0.879279,630000
