training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/dynamics/dynamics_loss,training/grad/max,training/grad/min,training/grad/norm,training/value/d_neg_loss,training/value/d_neg_max,training/value/d_neg_mean,training/value/d_neg_min,training/value/d_pos_loss,training/value/d_pos_max,training/value/d_pos_mean,training/value/d_pos_min,training/value/lam,training/value/lam_loss,training/value/total_loss,training/value/value_loss,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/dynamics/dynamics_loss,validation/value/d_neg_loss,validation/value/d_neg_max,validation/value/d_neg_mean,validation/value/d_neg_min,validation/value/d_pos_loss,validation/value/d_pos_max,validation/value/d_pos_mean,validation/value/d_pos_min,validation/value/lam,validation/value/lam_loss,validation/value/total_loss,validation/value/value_loss,step
1.0227664,-7.58879,0.02276637,0.05932051,102.72397,1.0,-102.72397,1.0,0.45343065,91.92359,-77.51534,620.48413,284.7495,1382.2075,301.94415,2.1642146,0.04667157,1.9506989,0.8754689,0.0049409866,442.48068,1.4727666,306.87357,305.4008,1.023053,-7.6843824,0.023053149,0.08321865,101.018555,0.99999994,-101.018555,1.0,0.5124947,295.39944,1328.9364,266.3194,3.2633033,0.08479166,3.3229923,0.9484236,0.0037002563,442.47983,-15.394608,317.52344,332.91803,330000
1.0227752,-7.5917444,0.02277523,0.060058955,96.78556,1.0,-96.78556,1.0,0.5015,107.31502,-99.88191,730.2708,299.86792,1384.9509,268.41028,2.683958,0.0500483,2.635727,0.90287256,0.0039761066,447.4626,-0.021611722,322.24106,322.26266,1.0231774,-7.725787,0.023177363,0.093569756,105.298134,1.0,-105.298134,1.0,0.54651076,289.2367,1358.6353,279.33157,4.1785736,0.092713736,4.799322,0.8957803,0.0019874573,447.4649,-19.112898,311.60995,330.72284,360000
1.0227607,-7.5868998,0.0227607,0.058847867,100.26731,1.0,-100.26731,1.0,0.5454687,74.39057,-68.14146,704.49774,275.44052,1437.0126,328.23447,1.3871765,0.04908875,2.4536285,0.88577664,0.0044555664,439.10757,0.4001371,297.3959,296.99576,1.0230438,-7.6812553,0.023043765,0.082436755,102.26047,1.0,-102.26047,1.0,0.5570477,283.51788,1429.0746,305.45837,0.04626274,0.15344015,8.048096,0.9657767,0.0036344528,439.1476,-45.425495,305.47525,350.90076,390000
1.0227777,-7.5925484,0.022777645,0.06026003,99.66818,1.0,-99.66818,1.0,0.54141325,203.95377,-177.15692,1120.8185,285.5359,1461.8485,310.52203,1.9337578,0.057352997,3.739708,0.8881118,0.0046987534,443.93573,-3.264258,307.7327,310.99695,1.0231094,-7.70315,0.023109451,0.08791048,103.765594,1.0,-103.765594,1.0,0.63534683,283.09344,1409.9644,303.43604,1.1667709,0.08707662,4.3344116,0.92629415,0.007385254,443.93085,-16.459455,305.29,321.74945,420000
1.0228031,-7.6010237,0.022803072,0.062378917,102.167656,1.0,-102.167656,1.0,0.50992084,55.80259,-80.9629,567.88617,284.5514,1463.9716,314.41223,0.20306683,0.043740876,2.3839417,0.87700707,0.003753662,442.213,2.7678664,306.66202,303.89417,1.0231216,-7.707201,0.023121603,0.088923246,106.52223,1.0,-106.52223,1.0,0.6266377,278.6031,1430.6724,308.11536,0.776104,0.14747308,5.987015,0.9597122,0.0049495697,442.2271,-43.10524,300.71448,343.8197,450000
1.0227567,-7.58555,0.022756647,0.05851038,100.367485,1.0,-100.367485,1.0,0.47966114,119.04379,-169.80829,844.2082,277.17715,1483.3108,324.98053,2.1345544,0.04905426,2.1242752,0.88537693,0.0044937134,442.74216,0.41871873,299.31427,298.89554,1.0231164,-7.705455,0.023116365,0.08848665,107.38718,1.0,-107.38718,1.0,0.53906167,281.53516,1412.9158,296.13177,1.5510752,0.16197614,6.898575,0.94796324,0.005870819,442.74872,-49.577297,303.67258,353.24988,480000
1.022817,-7.605663,0.02281699,0.063538685,105.82499,1.0,-105.82499,1.0,0.53601253,85.79716,-83.03076,705.10736,287.5294,1481.7976,301.0606,1.9556684,0.05251954,2.0023804,0.9100574,0.004901886,443.7283,-1.1179914,309.71582,310.8338,1.0230594,-7.6864758,0.023059428,0.083741866,104.10707,1.0,-104.10707,1.0,0.5722732,284.34552,1436.1516,298.18463,1.5321045,0.1849604,7.980021,0.96610117,0.0054779053,443.74863,-59.888493,306.53296,366.42145,510000
1.0228708,-7.6235733,0.02287072,0.06801626,107.072914,1.0,-107.072914,1.0,0.51960045,44.371826,-56.96261,516.28326,282.8009,1518.6836,308.84088,2.843975,0.04656072,1.9306545,0.8940481,0.0046446323,444.719,1.5295136,305.03683,303.50732,1.0231427,-7.7142353,0.023142707,0.090681866,104.16974,1.0,-104.16974,1.0,0.71789944,270.6034,1490.3547,333.19623,1.6850033,0.31650245,9.003929,0.98073643,0.00483799,444.7366,-118.52339,292.8402,411.36362,540000
1.0228081,-7.6026764,0.02280803,0.06279209,102.16993,1.0,-102.16993,1.0,0.51966083,26.34106,-37.941006,415.60968,277.8798,1506.0197,326.33795,1.6545262,0.03801592,1.9066963,0.86309695,0.006591797,445.25754,5.336002,300.14267,294.80667,1.0231597,-7.719909,0.023159727,0.09210027,113.84898,1.0,-113.84898,1.0,0.7501385,280.61847,1516.1619,310.48633,0.7043872,0.16513497,7.5203476,0.96425515,0.0070648193,445.2136,-51.259655,302.87915,354.1388,570000
1.0228797,-7.626584,0.022879753,0.068768926,108.40491,1.0,-108.40491,1.0,0.5181934,140.47208,-103.854195,1020.91205,279.58093,1494.861,309.21368,2.3327117,0.047206998,2.8379593,0.8885678,0.006538391,455.71786,1.2728213,302.36682,301.094,1.0231407,-7.7135077,0.023140524,0.09049992,108.80231,1.0000001,-108.80231,1.0,0.5866554,283.86227,1438.9421,297.56717,2.1091976,0.12457511,5.1689606,0.95243126,0.0061893463,455.7133,-33.98487,306.64795,340.6328,600000
