training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/critic/action_invariance_loss,training/critic/backup_loss,training/critic/backup_optim_loss,training/critic/biggest_diff_in_dist,training/critic/binary_accuracy,training/critic/categorical_accuracy,training/critic/critic_loss,training/critic/dist,training/critic/logits,training/critic/logits_neg,training/critic/logits_pos,training/critic/phi_mag,training/critic/psi_s_mag,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/critic/action_invariance_loss,validation/critic/backup_loss,validation/critic/backup_optim_loss,validation/critic/biggest_diff_in_dist,validation/critic/binary_accuracy,validation/critic/categorical_accuracy,validation/critic/critic_loss,validation/critic/dist,validation/critic/logits,validation/critic/logits_neg,validation/critic/logits_pos,validation/critic/phi_mag,validation/critic/psi_s_mag,step
1.7636486,-7.636503,0.76365036,0.07124882,0.58769184,0.9999983,-0.58769184,1.0,0.00010229579,-0.30700886,0.0055523515,0.5762632,0.99609375,0.22265625,-0.30690658,2.173768,-2.173768,-2.1805184,-0.4523898,4.0779943,4.3787556,0.021081788,-0.017158588,0.33151793,1.7645514,-7.645529,0.76455283,0.07350503,0.6641476,0.9999985,-0.6641476,1.0,0.0023024245,-0.11781837,0.025288075,3.056972,0.99609375,0.12890625,-0.11551595,1.7974632,-1.7974632,-1.8025279,-0.5059476,3.9132848,4.2349377,330000
1.7620829,-7.620845,0.76208454,0.06733427,0.6367457,0.9999984,-0.6367457,1.0,8.62691e-05,-0.3001449,0.018052012,0.77843004,0.99609375,0.15625,-0.30005863,2.070345,-2.070345,-2.076326,-0.54514104,4.056905,4.365921,0.039402675,-0.020884909,0.3847441,1.7675574,-7.6755877,0.7675588,0.08101991,0.6958232,0.99999857,-0.6958232,1.0,0.0025318384,-0.16324021,0.014304534,1.4973009,0.99609375,0.09765625,-0.16070837,1.8484571,-1.8484571,-1.8535357,-0.5534061,3.9092119,4.2343826,360000
1.7619555,-7.6195707,0.76195717,0.06701572,0.6163062,0.99999833,-0.6163062,1.0,9.568274e-05,-0.41533446,0.013330132,1.5955696,0.99609375,0.23046875,-0.41523877,2.3747888,-2.3747888,-2.3822005,-0.48470467,4.336329,4.6098022,0.06583851,-0.030262588,0.5529555,1.7677412,-7.677425,0.7677425,0.081479214,0.77683324,0.9999987,-0.77683324,1.0,0.004779173,-0.22032577,0.054885447,3.8251362,0.99609375,0.1015625,-0.2155466,2.0241163,-2.0241165,-2.0297961,-0.5757673,4.1264706,4.4361477,390000
1.7652243,-7.6522593,0.76522595,0.07518779,0.63437533,0.9999984,-0.63437533,1.0,8.30599e-05,-0.2900536,0.005437672,0.43473014,0.99609375,0.22265625,-0.28997055,2.1076841,-2.1076841,-2.1140707,-0.4790502,4.0461054,4.3226767,0.02612123,-0.02908312,0.33328602,1.7676003,-7.6760178,0.76760185,0.081127405,0.6735711,0.9999985,-0.6735711,1.0,0.0044615753,-0.18225095,0.015517756,3.5543337,0.99609375,0.1328125,-0.17778938,1.8819685,-1.8819685,-1.8872651,-0.5313051,3.88216,4.183169,420000
1.7598844,-7.598859,0.7598859,0.06183767,0.6152756,0.9999984,-0.6152756,1.0,0.00033749524,-0.20495269,0.022111297,0.58050174,0.99609375,0.18359375,-0.20461519,1.9159212,-1.9159212,-1.9215273,-0.48636055,4.008614,4.276638,0.038140412,-0.021199716,0.40968657,1.7721399,-7.7214127,0.7721412,0.09247604,0.76209426,0.9999987,-0.76209426,1.0,0.010941485,0.108597726,0.25048998,5.7851367,0.99609375,0.1015625,0.11953921,1.7754004,-1.7754004,-1.7801312,-0.569002,3.9250143,4.2127037,450000
1.7654276,-7.654292,0.76542926,0.075696066,0.6417612,0.9999984,-0.6417612,1.0,0.00015172079,-0.38883716,0.0065828264,0.7489019,0.99609375,0.234375,-0.38868544,2.2826548,-2.2826548,-2.2896838,-0.49024105,4.249715,4.5005484,0.021378152,-0.022638952,0.40881085,1.7714498,-7.7145143,0.7714514,0.09075153,0.66690123,0.99999845,-0.66690123,1.0,0.0053526545,-0.11233507,0.014367804,1.4706838,0.99609375,0.12109375,-0.10698242,1.7275946,-1.7275946,-1.7322793,-0.5329486,3.915188,4.2095747,480000
1.7603292,-7.6033096,0.7603309,0.06295033,0.6279285,0.99999833,-0.6279285,1.0,7.584072e-05,-0.25706393,0.01647845,0.5372087,0.99609375,0.19921875,-0.25698808,2.0365815,-2.0365815,-2.0426064,-0.50022024,4.1910563,4.4924192,0.034704365,-0.022647273,0.4145125,1.769603,-7.696043,0.7696043,0.08613379,0.7326472,0.9999986,-0.7326472,1.0,0.003796453,-0.05375553,0.011337347,0.8745981,0.99609375,0.109375,-0.049959075,1.6033565,-1.6033565,-1.6074601,-0.55687666,3.8614979,4.2114944,510000
1.7579123,-7.5791388,0.7579138,0.056907564,0.64457643,0.99999845,-0.64457643,1.0,0.00011767921,-0.30617955,0.0065802634,0.7913389,0.99609375,0.1953125,-0.30606186,2.1234589,-2.1234589,-2.1298013,-0.50612444,4.2519593,4.5424623,0.013069747,-0.019242078,0.33351684,1.7686822,-7.686838,0.7686838,0.08383241,0.6548033,0.99999845,-0.6548033,1.0,0.004941807,-0.14026797,0.034075156,1.1060095,0.99609375,0.09765625,-0.13532616,1.8299842,-1.8299843,-1.835062,-0.53514206,4.0476894,4.3587103,540000
1.7592568,-7.5925865,0.7592586,0.06026957,0.5858371,0.9999983,-0.5858371,1.0,7.010612e-05,-0.2985962,0.008222163,0.51445705,0.99609375,0.19140625,-0.2985261,2.1542225,-2.1542225,-2.1608536,-0.4632872,4.2692385,4.58461,0.029779535,-0.029585008,0.35318232,1.7732298,-7.7323127,0.77323127,0.09520109,0.7191,0.9999986,-0.7191,1.0,0.015056683,-0.23948741,0.05767697,2.6785834,0.99609375,0.140625,-0.22443072,2.1069999,-2.1069999,-2.113156,-0.5370983,4.231319,4.5637245,570000
1.7622161,-7.622176,0.76221764,0.06766696,0.65496886,0.99999845,-0.65496886,1.0,0.00016729752,-0.2042723,0.014138222,0.6999936,0.99609375,0.16015625,-0.204105,1.9220141,-1.9220141,-1.92765,-0.4848625,4.1373158,4.3814034,0.018295715,-0.04651127,0.44398874,1.7710888,-7.7109036,0.7710904,0.08984886,0.66035736,0.9999985,-0.66035736,1.0,0.0055287983,-0.025708303,0.020901866,3.6316257,0.99609375,0.1328125,-0.020179505,1.5577912,-1.5577912,-1.5617331,-0.5525658,3.8603883,4.161528,600000
