training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/dynamics/dynamics_loss,training/grad/max,training/grad/min,training/grad/norm,training/value/d_neg_loss,training/value/d_neg_max,training/value/d_neg_mean,training/value/d_neg_min,training/value/d_pos_loss,training/value/d_pos_max,training/value/d_pos_mean,training/value/d_pos_min,training/value/lam,training/value/lam_loss,training/value/total_loss,training/value/value_loss,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/dynamics/dynamics_loss,validation/value/d_neg_loss,validation/value/d_neg_max,validation/value/d_neg_mean,validation/value/d_neg_min,validation/value/d_pos_loss,validation/value/d_pos_max,validation/value/d_pos_mean,validation/value/d_pos_min,validation/value/lam,validation/value/lam_loss,validation/value/total_loss,validation/value/value_loss,step
1.0278227,-9.274225,0.027822677,0.4806794,136.27747,1.0,-136.27747,1.0,0.7406533,124.467476,-214.10861,1011.4589,256.58606,1170.4692,309.2978,0.21077417,0.058284804,3.9474447,0.67798054,0.03445416,533.7758,-4.422228,283.27484,287.69708,1.0279435,-9.314503,0.02794351,0.49074888,143.1398,1.0,-143.1398,1.0,0.6902493,261.04077,1139.3013,301.25662,0.13599527,0.060178593,3.108339,0.6769215,0.009479373,533.772,-5.4330473,287.72937,293.1624,330000
1.0278578,-9.28594,0.027857821,0.48360813,137.82445,1.0,-137.82445,1.0,0.66874236,337.29108,-243.16765,1525.031,262.98965,1096.8514,301.5772,0.35484385,0.051070668,2.6640878,0.6854732,0.026264884,530.1017,-0.5675624,289.49475,290.06232,1.0279955,-9.331804,0.027995411,0.49507385,141.47658,1.0,-141.47658,1.0,0.6481181,270.94778,1142.575,292.5652,0.0,0.037330214,2.858486,0.6581204,0.017590707,530.1093,6.716372,297.45325,290.73688,360000
1.0278122,-9.270737,0.027812209,0.4798072,130.57962,1.0,-130.57962,1.0,0.9821867,146.94351,-238.81053,1276.3936,265.06116,1085.2742,297.62903,0.0,0.04677298,2.769702,0.6855874,0.04072806,529.8371,1.7097957,291.553,289.8432,1.0280609,-9.35364,0.028060919,0.50053287,132.99707,1.0,-132.99707,1.0,0.6386208,253.69571,1121.8333,315.10834,0.24466607,0.041112214,3.8189466,0.6499787,0.054286476,529.8634,4.709313,280.18887,275.47955,390000
1.0279332,-9.311075,0.027933225,0.48989183,145.68427,1.0,-145.68427,1.0,0.65686214,219.02368,-141.3965,940.3739,263.47552,1000.7991,300.75458,0.0,0.044180036,2.8319256,0.6589365,0.048911612,538.71545,3.1353052,290.41132,287.276,1.028243,-9.414314,0.028242942,0.5157015,125.27382,1.0,-125.27382,1.0,0.7008543,263.7536,990.7907,293.83734,0.0,0.06132086,3.4259524,0.6938131,0.05256608,538.7128,-6.098692,290.68924,296.78793,420000
1.0278771,-9.292374,0.027877122,0.4852164,146.36621,1.0,-146.36621,1.0,0.67190164,317.31592,-161.42075,1323.9182,260.63574,1216.7507,308.44592,0.38749838,0.062065393,2.7727473,0.68786156,0.026412928,525.2033,-6.336784,286.8959,293.2327,1.027971,-9.323683,0.027971048,0.4930436,144.24594,1.0,-144.24594,1.0,0.690685,260.23523,1206.8062,306.82294,0.33328128,0.058409818,3.2711678,0.70865756,0.033477742,525.2125,-4.416941,286.49588,290.9128,450000
1.027913,-9.30434,0.027913023,0.48820817,128.45071,1.0,-128.45071,1.0,0.7421494,119.55565,-232.62013,997.23883,259.6449,1224.8285,302.55002,0.0,0.049114835,3.4801595,0.6687281,0.045379635,520.3384,0.46058595,285.6618,285.20123,1.0281938,-9.397955,0.028193867,0.5116119,132.10971,1.0,-132.10971,1.0,0.65690666,256.4636,1201.8915,312.61322,0.33900067,0.041185495,2.6747549,0.6778425,0.045130726,520.3464,4.5865965,282.48093,277.89432,480000
1.0279495,-9.316472,0.027949415,0.49124098,152.64505,1.0,-152.64505,1.0,0.67307305,120.00336,-234.41423,1077.4392,260.8383,1222.2927,301.52008,0.0,0.05631181,2.9606934,0.6980214,0.05644989,517.0948,-3.263803,286.69302,289.95682,1.0282172,-9.405714,0.02821714,0.51355135,157.39423,1.0,-157.39423,1.0,0.7270225,248.31958,1132.6469,325.91766,0.4132843,0.057994563,3.8936615,0.69201946,0.05256653,517.1054,-4.1340313,274.17484,278.30887,510000
1.0279055,-9.30184,0.027905522,0.48758313,135.51352,1.0,-135.51352,1.0,0.6481638,159.97635,-147.47458,966.08154,250.97949,1154.5559,319.5771,0.21926498,0.05981721,3.0748901,0.6931473,0.05174136,513.89294,-5.0449944,276.67416,281.71915,1.0280979,-9.365952,0.028097853,0.5036107,143.70529,1.0,-143.70529,1.0,0.84338844,255.0267,1137.0916,318.2718,0.0,0.053825904,2.7763214,0.67436963,0.0552063,513.8971,-1.9661204,280.72156,282.68768,540000
1.027674,-9.224663,0.02767399,0.46828878,132.63446,1.0,-132.63446,1.0,0.80469245,169.67458,-139.59712,919.838,252.02448,1049.867,312.98187,0.0,0.05350355,3.0400085,0.6797632,0.050326347,530.5397,-1.8587722,278.55145,280.41022,1.0280616,-9.353873,0.02806162,0.5005913,132.27917,1.0,-132.27917,1.0,0.65633005,259.8855,1035.1754,306.81488,0.0,0.04730273,2.8761902,0.6760405,0.055252075,530.5394,1.4310082,286.41248,284.98148,570000
1.027824,-9.274669,0.027824007,0.48079008,138.72768,1.0,-138.72768,1.0,0.58326674,206.57436,-190.61882,910.53143,254.80173,1233.3964,319.1346,0.0,0.033514414,2.538353,0.66112155,0.046922684,511.42075,8.431071,280.37274,271.94168,1.0279291,-9.30968,0.027929042,0.48954302,139.6634,1.0,-139.6634,1.0,0.59356374,256.0348,1156.0612,313.0667,0.0,0.06106605,3.329545,0.69131166,0.059005737,511.43393,-5.659553,281.6065,287.26605,600000
