training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,training/value/eikonal_loss,training/value/td_value_loss,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,validation/value/eikonal_loss,validation/value/td_value_loss,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,step
170.41391,7.434764,-7.561046,0.052384503,1.0,3.0608988,-4.105229,68.17205,0.28608853,0.18239,0.33682746,-36.29553,-96.58081,0.46847853,195.25256,8.227618,-7.6729846,0.08036914,1.0,0.23339663,0.19368812,0.33979607,-35.48649,-96.28058,0.42708474,630000
171.31053,7.5000153,-7.5560746,0.051141612,1.0,5.732418,-5.612888,73.75466,0.24754763,0.18795606,0.392401,-34.68495,-95.95864,0.4355037,176.209,7.4167905,-7.6767974,0.08132228,1.0,0.25861567,0.14588547,0.34094107,-36.162422,-96.70271,0.40450114,660000
169.09265,7.933099,-7.553794,0.05057148,1.0,6.595201,-6.4994087,89.02698,0.2464516,0.2874822,0.4885298,-35.981907,-96.38097,0.5339338,182.1105,7.8925304,-7.7034435,0.08798381,1.0,0.23084795,0.21889783,0.6472097,-36.190056,-96.45169,0.44974577,690000
189.0315,9.405819,-7.5527763,0.050317116,1.0,3.4845376,-4.586199,66.33264,0.26758668,0.17061973,0.25261492,-33.507477,-97.02218,0.4382064,190.21796,8.733626,-7.689809,0.08457519,1.0,0.24121742,0.15720244,0.38968804,-35.834656,-96.053246,0.39841986,720000
178.96634,8.931099,-7.549389,0.04947024,1.0,5.314149,-4.9403205,78.33028,0.22281002,0.16728385,0.30619764,-34.693542,-97.8055,0.39009386,177.67265,7.2312574,-7.7027125,0.08780111,1.0,0.2993934,0.1774188,0.4200163,-34.667732,-97.22359,0.47681218,750000
196.19485,8.084946,-7.5570383,0.051382516,1.0,17.167637,-7.9016643,97.41112,0.21376956,0.14031637,0.439525,-35.46898,-97.35086,0.35408592,190.83386,8.594208,-7.667993,0.07912128,1.0,0.2401691,0.26738018,0.4668072,-36.112865,-97.101036,0.5075493,780000
175.31715,7.3803697,-7.5444813,0.048243277,1.0,3.0871525,-3.0640538,61.994534,0.33426926,0.1772035,0.51406777,-35.41484,-96.0956,0.51147276,198.84982,8.835451,-7.695115,0.08590169,1.0,0.31949717,0.18642357,0.35091347,-34.218826,-97.64813,0.50592077,810000
185.8258,8.613996,-7.561789,0.052570198,1.0,7.518511,-3.7254763,70.422516,0.22350192,0.15790185,0.2943614,-36.73186,-98.35184,0.38140377,178.4884,8.181744,-7.6610785,0.07739258,1.0,0.33658987,0.1690537,0.2763772,-36.634575,-97.021805,0.5056436,840000
191.03024,9.348574,-7.5459375,0.048607446,1.0,3.3844616,-6.41756,65.93773,0.2094088,0.13735536,0.28676558,-33.570625,-99.2175,0.34676415,183.1117,7.9876423,-7.675596,0.081022,1.0,0.31380853,0.21645996,0.19067806,-35.99282,-98.3302,0.5302685,870000
177.08621,7.918248,-7.549787,0.049569644,1.0,3.8990445,-4.753537,65.47684,0.2513346,0.13763039,0.4413901,-35.3845,-97.786514,0.388965,179.58133,8.639217,-7.6735473,0.08050974,1.0,0.25770733,0.17158121,0.48906973,-35.983315,-97.41943,0.42928854,900000
185.54501,8.476372,-7.54072,0.047302946,1.0,3.2056386,-4.2442856,75.015205,0.20309654,0.19501562,0.20796458,-34.324623,-96.45148,0.39811218,182.7524,7.708861,-7.693995,0.08562164,1.0,0.2710967,0.17777127,0.27569377,-35.45381,-97.591644,0.44886798,930000
174.23903,7.1814566,-7.5457478,0.048559926,1.0,7.2487154,-5.0091686,73.38744,0.27685124,0.16301394,0.36774474,-35.231842,-96.63364,0.43986517,211.97386,10.010116,-7.6803493,0.08221029,1.0,0.23965459,0.16090979,0.37288427,-35.27242,-98.760216,0.40056437,960000
191.76859,8.819897,-7.5455914,0.048520852,1.0,4.48414,-2.901721,65.92535,0.22097366,0.12949264,0.23695788,-35.829285,-97.87929,0.3504663,184.93874,8.242739,-7.673222,0.080428526,1.0,0.2577612,0.23948699,0.20249167,-36.40042,-98.6841,0.4972482,990000
