training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/critic/action_invariance_loss,training/critic/backup_loss,training/critic/backup_optim_loss,training/critic/biggest_diff_in_dist,training/critic/binary_accuracy,training/critic/categorical_accuracy,training/critic/critic_loss,training/critic/dist,training/critic/logits,training/critic/logits_neg,training/critic/logits_pos,training/critic/phi_mag,training/critic/psi_s_mag,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/critic/action_invariance_loss,validation/critic/backup_loss,validation/critic/backup_optim_loss,validation/critic/biggest_diff_in_dist,validation/critic/binary_accuracy,validation/critic/categorical_accuracy,validation/critic/critic_loss,validation/critic/dist,validation/critic/logits,validation/critic/logits_neg,validation/critic/logits_pos,validation/critic/phi_mag,validation/critic/psi_s_mag,step
1.7728534,-7.7285485,0.7728548,0.09426003,0.6618729,0.9999985,-0.6618729,1.0,8.609398e-05,0.003206795,0.014556188,0.5633781,0.99609375,0.31640625,0.003292889,1.484227,-1.484227,-1.488009,-0.5197618,2.2754521,2.5818214,0.022335777,-0.014577843,0.3688415,1.7853634,-7.8536506,0.7853651,0.1255356,0.6236339,0.9999984,-0.6236339,1.0,0.00061532966,0.08816813,0.01281108,0.9186032,0.99609375,0.2421875,0.08878346,1.3471704,-1.3471704,-1.350438,-0.513881,2.1598141,2.4738681,330000
1.7698002,-7.698018,0.76980174,0.08662743,0.64104056,0.9999984,-0.64104056,1.0,9.815985e-05,-0.12541202,0.0040355325,0.55058575,0.99609375,0.3515625,-0.12531386,1.8029566,-1.8029566,-1.808147,-0.4793079,2.4736416,2.773326,0.020222463,-0.015384394,0.35134608,1.7870085,-7.8700995,0.78700995,0.12964778,0.6762785,0.9999985,-0.6762785,1.0,0.0010023792,0.0753566,0.012163617,1.1069019,0.99609375,0.2578125,0.07635898,1.4110007,-1.4110005,-1.414582,-0.49770427,2.302397,2.6242847,360000
1.7731324,-7.7313404,0.77313405,0.09495801,0.627298,0.9999984,-0.627298,1.0,5.5882163e-05,-0.06642227,0.00421194,0.4815588,0.99609375,0.30859375,-0.06636639,1.6565187,-1.6565188,-1.6610643,-0.49740493,2.4517026,2.7685354,0.015853424,-0.022797866,0.37163705,1.7854872,-7.8548846,0.7854885,0.12584415,0.70957583,0.9999986,-0.70957583,1.0,0.0005941726,0.06507205,0.010654092,0.9714899,0.99609375,0.23828125,0.06566623,1.3897245,-1.3897245,-1.3931086,-0.5268075,2.2903879,2.6166573,390000
1.7691226,-7.691244,0.7691244,0.08493397,0.6003494,0.9999983,-0.6003494,1.0,9.509702e-05,-0.010895351,0.0035242857,0.4504602,0.99609375,0.33203125,-0.010800254,1.5730765,-1.5730766,-1.5773898,-0.47316003,2.3626275,2.6478534,0.013756903,-0.024408448,0.37195218,1.7788708,-7.788722,0.77887225,0.109303504,0.68224156,0.99999857,-0.68224156,1.0,0.00045848647,0.13632253,0.008024961,1.0408863,0.99609375,0.234375,0.13678102,1.2243931,-1.2243931,-1.2271503,-0.5212866,2.181827,2.4859886,420000
1.7698829,-7.698846,0.7698846,0.086834446,0.61941355,0.9999984,-0.61941355,1.0,0.00022640981,-0.06509197,0.005151108,0.46386704,0.99609375,0.3125,-0.06486556,1.6366149,-1.6366148,-1.6410742,-0.4994995,2.4674537,2.753934,0.030654537,-0.019544812,0.38738406,1.7827208,-7.827222,0.78272223,0.11892846,0.67581385,0.9999985,-0.67581385,1.0,0.0007063977,0.07701631,0.0061554164,1.1029451,0.99609375,0.1796875,0.077722706,1.3364527,-1.3364528,-1.339514,-0.5558435,2.2682061,2.589879,450000
1.7691114,-7.6911287,0.76911294,0.084905304,0.66547227,0.9999985,-0.66547227,1.0,8.023571e-05,-0.010832159,0.0052500796,0.6155293,0.99609375,0.3203125,-0.010751924,1.5424864,-1.5424864,-1.546606,-0.49197894,2.3761725,2.6250682,0.036530264,-0.038039017,0.4261591,1.7791492,-7.7915072,0.7791507,0.10999982,0.666703,0.99999845,-0.666703,1.0,0.00052464183,0.058502458,0.007840507,0.923224,0.99609375,0.2421875,0.059027098,1.3591285,-1.3591285,-1.362324,-0.5442192,2.298315,2.5743597,480000
1.7682209,-7.682226,0.7682226,0.08267948,0.61876154,0.99999833,-0.61876154,1.0,0.00014582113,-0.076857924,0.0053726956,1.191977,0.99609375,0.28515625,-0.0767121,1.6604657,-1.6604657,-1.6649594,-0.5145724,2.4572506,2.715539,0.032985408,-0.022141924,0.4816299,1.7846386,-7.846401,0.78464013,0.1237233,0.6786891,0.9999985,-0.6786891,1.0,0.0021726224,0.005545266,0.015799433,1.2219713,0.99609375,0.22265625,0.0077178883,1.4981102,-1.4981102,-1.5018523,-0.5438671,2.4299238,2.6935225,510000
1.7690349,-7.6903634,0.7690364,0.08471386,0.629841,0.9999984,-0.629841,1.0,0.0001001532,-0.17468405,0.0054348707,0.6026068,0.99609375,0.3125,-0.1745839,1.8336046,-1.8336046,-1.8387649,-0.5177219,2.6495454,2.9084282,0.037752643,-0.04013969,0.441374,1.7876847,-7.8768625,0.7876863,0.13133863,0.6557425,0.99999845,-0.6557425,1.0,0.0019676834,0.085878894,0.01773145,1.313677,0.99609375,0.2578125,0.08784658,1.4044037,-1.4044037,-1.4078952,-0.5140184,2.3866477,2.6421905,540000
1.7715122,-7.7151394,0.77151394,0.09090779,0.58795965,0.9999982,-0.58795965,1.0,9.497983e-05,-0.18337849,0.005997032,0.48922437,0.99609375,0.34375,-0.18328351,1.9320822,-1.9320822,-1.937907,-0.44669706,2.7321987,2.9781313,0.021018539,-0.03756072,0.39274088,1.7834959,-7.834974,0.78349745,0.12086649,0.6453117,0.9999984,-0.6453117,1.0,0.001869352,0.13670015,0.02068828,2.453126,0.99609375,0.24609375,0.1385695,1.3049282,-1.3049283,-1.3080628,-0.50560546,2.2827592,2.5584507,570000
1.7701685,-7.701702,0.7701702,0.087548465,0.60896236,0.99999833,-0.60896236,1.0,0.00017875581,-0.12764554,0.006087348,0.48371038,0.99609375,0.29296875,-0.12746678,1.7829192,-1.7829192,-1.7880483,-0.47497517,2.5806072,2.8414063,0.03911266,-0.018970769,0.38796264,1.7873311,-7.8733263,0.78733265,0.13045458,0.65244734,0.99999845,-0.65244734,1.0,0.0007433527,0.09377862,0.018649608,2.6017833,0.99609375,0.23828125,0.09452197,1.3410597,-1.3410597,-1.3442492,-0.527713,2.3489814,2.6128445,600000
